version,n,problem,suite,seed,success,cleared,total,source_count,omni_count,dir_count,total_time_s,avg_time_per_source_s,move_distance_m,move_time_s,measure_count,measure_time_s,switch_count,switch_time_s,clear_success,clear_fail,clear_time_s,near_count,time_component_delta_s,policy_runtime_s,error,number_discovered,number_cleared,discovered_but_not_cleared,never_discovered,reacquisition_attempts,reacquisition_successes,no_signal_after_found,deferred_targets,targets_remaining_at_exit,completed_search_points,remaining_search_points,termination_reason,local_reacquisition_move_m,local_reacquisition_measure_count,local_reacquisition_switch_count,local_reacquisition_time_s,non_reacquisition_time_s,coarse_successes,coarse_failures,intersection_attempts,fallback_targets,mec_checks,move_count,mean_positive_jump_m,p95_positive_jump_m,max_jump_m,long_jump_count_ge_500m,long_jump_distance_ge_500m,very_long_jump_count_ge_1000m,backtrack_count,clear_to_backbone_count,clear_to_backbone_distance_m,clear_delay_path_excess_m,delayed_clear_count,backbone_points_visited,backbone_measure_count,search_move_distance_m,distance_backbone->backbone,count_backbone->backbone,distance_backbone->localization,count_backbone->localization,distance_backbone->reacquisition,count_backbone->reacquisition,distance_clear->backbone,count_clear->backbone,distance_clear->reacquisition,count_clear->reacquisition,distance_localization->backbone,count_localization->backbone,distance_localization->clear,count_localization->clear,distance_localization->localization,count_localization->localization,distance_localization->reacquisition,count_localization->reacquisition,distance_origin->backbone,count_origin->backbone,distance_reacquisition->backbone,count_reacquisition->backbone,distance_reacquisition->clear,count_reacquisition->clear,distance_reacquisition->localization,count_reacquisition->localization,distance_reacquisition->reacquisition,count_reacquisition->reacquisition,case_sha256,policy_cpu_s,time_residual_s,geometry_acceleration_count,rescue_attempt_count,rescue_success_count,rescue_failure_count,distance_backbone->clear,count_backbone->clear,distance_clear->clear,count_clear->clear,distance_clear->localization,count_clear->localization
w5,25,4,random,0,1,16,16,16,6,10,7643.34352,477.70897,27791.71758177323,5558.343516354646,343,1715.0,290,290.0,16,0,80.0,3,3.6453538996283896e-06,9.51701700000558,,16,16,0,0,143,55,102,6,0,16,0,all_resolved,17586.097822964428,143,93,4325.219564592886,3318.1239554071144,36,30,0,2,36,101,275.16552061161616,932.5011871748052,1805.2976740734116,21,16701.3761587113,3,4,2,1745.275630723051,17598.7998919848,13,16,270,5410.8485470711985,1940.0,2,790.9714367130813,1,530.70779549293,3,1745.275630723051,2,8434.829945056761,13,258.3906455766254,1,22.29222373626002,1,231.70516723562542,1,373.6164375689003,1,0.0,0,1467.1822707715216,3,2653.4936872441103,12,1096.308696808524,2,8246.943644845842,59,7e73dbeb3a48e436cba998bf3dc3c2c634c40f23a8515247cbbc1ad431fbc571,9.5,3.6453538996283896e-06,0,0,0,0,,,,,,
w5,25,4,random,1,1,11,11,11,9,2,7393.196555,672.1087777272728,23830.98276767908,4766.196553535816,435,2175.0,397,397.0,11,0,55.0,3,1.464184606447816e-06,5.353665699993144,,11,11,0,0,136,45,99,6,0,25,0,all_resolved,6844.548896370735,136,105,2153.909779274147,5239.286775725854,27,18,0,0,27,81,294.2096637985071,980.0510190801282,1288.1623316490472,19,15825.760743180392,1,1,8,3920.7284030779083,75.04943990501846,8,25,386,14037.146426410825,9610.204076320515,15,695.398995622937,1,4443.131422842056,8,3920.7284030779083,8,108.0918041666658,2,,,249.81694274967032,1,,,,,0.0,0,506.2139470124014,1,1129.4763813809066,6,164.64521605561535,1,2293.3256693620124,37,d005ecaac9db3c1b63762dfea58059a857f6d8bed11068e63934cb609f80463a,5.34375,1.464184606447816e-06,0,0,0,0,709.9499090883888,1,,,,
w5,25,4,random,2,1,16,16,16,9,7,5303.336748,331.45854675,19276.683740471384,3855.336748094277,241,1205.0,163,163.0,16,0,80.0,4,-9.427731129107997e-08,6.250010399991879,,16,16,0,0,124,54,82,1,0,8,0,all_resolved,11224.275194570535,124,50,2914.855038914107,2388.481709085893,41,45,0,0,41,113,170.59012159709187,832.3126355493283,1394.7835275465482,10,8908.916638421386,3,6,3,482.9357497892361,10392.888521411554,12,8,147,3542.986768869366,3060.05101908013,4,475.6027570207624,1,1130.1594602097762,3,482.9357497892361,3,4137.578673604452,7,,,585.2476964243116,2,57.95494366511074,1,426.73652626986086,1,0.0,0,0.0,0,914.3339276402077,7,,,5529.800534486444,79,0d5265dcc0788653e4949f7b688fafd839644775230dfddce5ff94e4b3fcd057,6.21875,-9.427731129107997e-08,0,0,0,0,,,1649.4543179623777,3,826.828134318709,2
w5,25,4,min_reff,10000,1,14,14,14,5,9,7680.913258,548.6366612857142,26869.566292296076,5373.913258459215,376,1880.0,357,357.0,14,0,70.0,1,-4.592156983562745e-07,5.864019200002076,,14,14,0,0,111,25,97,5,0,25,0,all_resolved,7688.185782498284,111,96,2188.637156499657,5492.2761015003425,16,8,0,0,16,65,413.3779429584011,980.0510190801297,1562.3108312142642,20,16538.800198351317,2,3,8,6125.195479503049,5399.56583303732,13,25,348,13996.72049715957,5430.102038160261,9,1509.3954493608849,3,4035.249764443399,8,6125.195479503049,8,2182.270527682583,5,941.6482859959646,2,,,,,67.25551627071621,1,0.0,0,1499.7746935002947,3,2231.8687625490174,8,,,1403.4099741015875,13,1ace8b55724300d9060242d92e7d9a964b32e825bc5e5254fe2dd2ecedaed49e,5.828125,-4.592156983562745e-07,0,0,0,0,1069.2327818992003,4,374.16301882911586,1,,
w5,25,4,min_reff,10001,1,12,12,12,4,8,6761.696061,563.47467175,22503.480293545035,4500.696058709007,368,1840.0,361,361.0,12,0,60.0,0,2.2909925974090584e-06,2.5695644000079483,,12,12,0,0,31,17,21,1,0,25,0,all_resolved,6348.2332779681965,31,28,1452.6466555936393,5309.04940540636,10,0,0,0,10,48,468.82250611552166,980.0510190801294,1142.8323220661043,22,17093.737129709836,1,1,10,5225.028855671123,2227.7331415419253,12,25,356,11625.130893831381,6400.102038160258,10,1162.1395076650924,2,3465.139233601908,8,5225.028855671123,10,1405.968523073889,2,,,17.59084216497422,2,,,,,0.0,0,0.0,0,1602.9329494347655,7,,,1477.1255212923988,4,37e5740fdd78a4ea08c5e24762d2b54124ea52432ba41978998bcfdfcf86ffad,2.5,2.2909925974090584e-06,0,0,0,0,1747.4528224806297,3,,,,
w5,25,4,collinear,10000,1,14,14,14,5,9,6787.508215,484.82201535714285,25567.541065903897,5113.508213180779,270,1350.0,254,254.0,14,0,70.0,0,1.8192204152001068e-06,10.38873710000189,,14,14,0,0,52,31,32,1,0,25,0,all_resolved,10199.833563952712,52,42,2341.9667127905423,4445.541502209458,20,3,0,0,20,65,393.3467856292907,980.051019080129,980.0510190801299,22,18184.497814749302,0,1,3,2550.9426357822604,18142.083231902143,14,25,243,12128.307503715978,7100.15305724039,9,835.1053811594048,1,3343.632851155905,7,2550.9426357822604,3,2383.458780411859,5,,,4.378114482731629,1,50.75814277257471,1,559.9015393504003,2,0.0,0,2477.211810693328,5,1122.1344589542275,9,,,3912.840393034548,16,c2a3feb0eb9d8d154e75c4c4e1a55013ccd32a0d930cb3b21a6ebd03abdc8f69,10.3125,1.8192204152001068e-06,0,0,0,0,,,526.3848879652566,4,700.6390129010106,2
w5,25,4,collinear,10001,1,12,12,12,4,8,7307.389852,608.9491543333334,24746.94925686357,4949.389851372714,386,1930.0,368,368.0,12,0,60.0,0,6.272866812651046e-07,4.767987800005358,,12,12,0,0,101,38,72,4,0,25,0,all_resolved,11310.582855060768,101,88,2855.1165710121536,4452.273280987847,26,0,0,0,26,65,380.72229625943953,980.051019080129,1354.6214374212743,22,19080.018413509864,2,3,2,1153.0157008452156,12190.09592773335,12,25,357,10966.309857198488,6950.1020381602575,8,,,3441.0532963214446,6,1153.0157008452156,2,2184.927633991614,7,,,513.5613590863594,3,,,,,0.0,0,2863.1921181930165,6,758.0251354803671,7,874.6073504356369,2,5684.60192474771,21,0fe3197104c614d191df2fe0fc158b961ee7cc3998b11ff524337e0de89c556c,4.6875,6.272866812651046e-07,0,0,0,0,,,121.54325019881962,2,202.31944940312724,1
w6a,25,4,random,0,1,16,16,16,6,10,7833.071661,489.5669788125,27575.358295516184,5515.071659103237,380,1900.0,338,338.0,16,0,80.0,5,1.8967630239785649e-06,9.815231900007348,,16,16,0,0,144,46,109,7,0,22,0,all_resolved,13718.262478102544,144,105,3568.652495620509,4264.4191653794915,21,31,0,2,21,94,293.35487548421486,969.9999999999993,1302.9766464526194,24,17862.29943503908,2,3,7,3567.6182226432265,4005.5633493430687,12,22,318,9048.306713960095,3049.999999999999,4,1609.8982048250782,2,3377.650327055894,7,3567.6182226432265,7,4101.970514675466,8,258.3906455766254,1,277.3273331411391,2,231.70516723562542,1,553.4641483653236,1,0.0,0,2172.2978457402455,3,1407.9505224677607,8,1235.0916007878297,3,5685.17748800586,46,7e73dbeb3a48e436cba998bf3dc3c2c634c40f23a8515247cbbc1ad431fbc571,9.765625,1.8967630239785649e-06,13,0,0,0,46.81627499612305,1,,,,
w6a,25,4,random,1,1,11,11,11,9,2,8006.958167,727.9052879090909,26454.79084323833,5290.958168647666,450,2250.0,411,411.0,11,0,55.0,3,-1.6476660675834864e-06,5.384726100004627,,11,11,0,0,146,44,111,7,0,25,0,all_resolved,9768.84431718048,146,112,2795.7688634360957,5211.189303563904,16,30,0,0,16,82,322.6194005272968,979.5484681261224,1478.7177718017322,25,20254.91718024663,2,2,6,3317.8072823789494,1519.7698033066576,8,25,400,14520.850356414687,7660.153057240387,13,1011.468677589093,2,5621.428084559171,9,3317.8072823789494,6,2543.726301155084,4,,,0.0,0,,,261.6299963563383,1,0.0,0,3542.890016795349,5,443.6775829656967,7,,,1342.0599351098829,34,d005ecaac9db3c1b63762dfea58059a857f6d8bed11068e63934cb609f80463a,5.375,-1.6476660675834864e-06,12,0,0,0,709.9499090883888,1,,,,
w6a,25,4,random,2,1,16,16,16,9,7,5054.047826,315.877989125,18305.239116543093,3661.0478233086187,230,1150.0,163,163.0,16,0,80.0,5,2.691381268959958e-06,5.434279499997501,,16,16,0,0,113,46,79,1,0,8,0,all_resolved,11803.456771424515,113,50,2975.691354284903,2078.356471715097,30,42,0,0,30,99,184.90140521760696,970.0,1396.1211602370863,14,11067.618438097586,3,4,2,230.85944701725543,9289.245436159943,11,8,149,3679.95824505054,3060.05101908013,4,475.6027570207624,1,1762.07444985517,3,230.85944701725543,2,4930.606058149504,9,,,392.4241178840287,2,57.95494366511074,1,426.73652626986086,1,0.0,0,389.0477789531548,1,585.1529430282355,7,,,4684.039737149981,64,0d5265dcc0788653e4949f7b688fafd839644775230dfddce5ff94e4b3fcd057,5.421875,2.691381268959958e-06,12,0,0,0,,,672.3280491248664,2,638.3612893450301,2
w6a,25,4,min_reff,10000,1,14,14,14,5,9,6999.965016,499.9975011428572,24389.82509020945,4877.96501804189,345,1725.0,327,327.0,14,0,70.0,1,-2.0418901840457693e-06,5.7179075999883935,,14,14,0,0,95,23,83,7,0,25,0,all_resolved,9191.304578652867,95,82,2395.2609157305733,4604.704100269427,17,3,0,0,17,61,399.83319820015475,980.051019080129,1265.565399763326,25,18638.300210758003,1,1,8,4093.450583033502,278.76511782726226,13,25,321,11816.088796014441,6130.15305724039,8,707.2965313285374,2,3007.5246676166703,6,4093.450583033502,8,2759.0686502776243,5,482.48515574055006,1,,,,,83.96304307479636,2,0.0,0,1110.0,2,1182.0457702476838,10,,,3340.748217683776,13,1ace8b55724300d9060242d92e7d9a964b32e825bc5e5254fe2dd2ecedaed49e,5.71875,-2.0418901840457693e-06,7,0,0,0,897.903253913352,3,,,595.1861600525588,1
w6a,25,4,min_reff,10001,1,12,12,12,4,8,6695.094166,557.9245138333333,22175.47083159313,4435.094166318626,368,1840.0,360,360.0,12,0,60.0,0,-3.1862600735621527e-07,2.592034600005718,,12,12,0,0,28,15,19,1,0,25,0,all_resolved,4334.489183764209,28,26,1032.8978367528418,5662.196329247158,7,0,0,0,7,48,461.9889756581902,976.5331624020837,980.0510190801299,24,17767.123868096423,0,2,10,5393.854762169271,654.7040662416052,12,25,356,12106.053504637248,6540.102038160258,11,1650.024467702712,3,3702.266670001749,7,5393.854762169271,10,,,172.0967043077176,1,1129.811843738156,4,,,,,0.0,0,0.0,0,899.0983867621446,6,,,632.2225137624604,2,37e5740fdd78a4ea08c5e24762d2b54124ea52432ba41978998bcfdfcf86ffad,2.5625,-3.1862600735621527e-07,5,0,0,0,1205.0630124971217,2,,,850.9304324915414,2
w6a,25,4,collinear,10000,1,14,14,14,5,9,6527.067179,466.2190842142857,24150.33588386452,4830.0671767729045,273,1365.0,262,262.0,14,0,70.0,2,2.2270951376412995e-06,9.395018499999424,,14,14,0,0,30,26,13,0,0,25,0,all_resolved,4966.703877063931,30,27,1170.3407754127861,5356.726403587214,16,0,0,0,16,55,439.0970160702641,980.0510190801289,980.0510190801299,22,18740.66597973749,0,3,3,2340.621373723729,25730.009558570946,12,25,254,16225.77035619887,13500.255095400646,19,,,1386.2366833960805,3,2340.621373723729,3,1650.5010118268701,4,,,528.9043353916236,1,,,,,0.0,0,384.8938870744947,1,508.1176765186367,4,,,1929.9661818409804,12,c2a3feb0eb9d8d154e75c4c4e1a55013ccd32a0d930cb3b21a6ebd03abdc8f69,9.296875,2.2270951376412995e-06,13,0,0,0,327.28162487150587,1,1075.0544726986911,6,518.5035411212683,1
